Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: Stage1+BigSF 91 v350 HWG.ptm - Realtime: Stage1+BigSF 91 v350 HWG.ptm]
104.896,0.00,-4.69,16.79,off,off,-9.98,13.89,0.25,off,12.67,192,1.000,0.00,0.00,0.00,1.0,3,1.00,0.60,70,102,3.02,67.26,0.78,4.67,190,709,0.00,3.9,0.00,0
104.986,0.00,-4.69,16.61,off,off,-10.01,13.96,0.25,off,12.67,192,1.000,0.00,0.00,0.00,1.0,3,1.00,0.61,70,102,2.99,67.13,0.74,4.64,190,714,0.00,3.5,0.00,0
105.041,0.00,-4.69,16.45,off,off,-10.03,13.96,0.25,off,12.67,192,1.000,0.00,0.00,0.00,1.0,3,6.00,0.61,70,102,2.98,66.96,0.74,4.61,190,720,0.00,3.5,0.00,0
105.100,0.00,-4.69,16.41,off,off,-10.11,13.96,0.23,off,12.71,192,1.000,0.00,0.00,0.00,1.0,3,6.00,0.63,70,102,3.00,66.41,0.74,4.54,190,742,0.00,3.5,0.00,0
105.157,0.00,-4.69,16.23,off,off,-10.14,13.96,0.23,off,12.76,192,1.000,0.00,0.00,0.00,1.0,3,5.00,0.64,70,102,3.00,66.03,0.74,4.51,190,758,0.00,3.5,0.00,0
105.236,0.00,-4.69,16.12,off,off,-10.23,13.96,0.22,off,12.76,192,1.000,0.00,0.00,0.00,1.0,3,6.00,0.66,70,102,2.98,65.60,0.74,4.42,191,777,0.00,3.1,0.00,0
105.291,0.00,-4.69,16.06,off,off,-10.34,13.96,0.22,off,12.76,192,1.000,0.00,0.00,0.00,1.0,3,6.50,0.67,70,102,2.95,65.45,0.72,4.31,191,787,0.00,3.1,0.00,0
105.347,0.00,-4.69,15.92,off,off,-10.40,13.96,0.21,off,12.76,192,1.000,0.00,0.00,0.00,1.0,3,7.00,0.67,70,102,2.89,65.43,0.70,4.25,191,791,0.00,3.1,0.00,0
105.426,0.00,-4.69,15.87,off,off,-10.52,13.96,0.21,off,12.76,192,1.000,0.00,0.00,0.00,1.0,3,7.00,0.68,70,102,2.85,65.31,0.70,4.13,191,805,0.00,3.1,0.00,0
105.491,0.00,-4.69,15.81,off,off,-10.62,13.96,0.21,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.70,70,102,2.83,65.36,0.72,4.03,190,817,0.00,3.1,0.00,0
105.548,0.00,-4.69,15.76,off,off,-10.73,13.96,0.19,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.70,70,102,2.80,65.42,0.70,3.92,190,823,0.00,3.1,0.00,0
105.606,0.00,-4.69,15.73,off,off,-10.76,13.96,0.19,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.53,70,102,2.76,65.43,0.72,3.89,190,829,0.00,3.1,0.00,0
105.686,0.00,-4.69,15.66,off,off,-10.87,13.96,0.19,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.53,70,102,2.73,65.47,0.70,3.78,190,836,0.00,3.1,0.00,0
105.752,0.00,-4.69,15.61,off,off,-10.90,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.54,70,102,2.69,65.48,0.70,3.75,190,838,0.00,3.1,0.00,0
105.810,0.00,-4.69,15.69,off,off,-10.93,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.50,0.54,70,102,2.65,65.50,0.70,3.71,190,839,0.00,3.1,0.00,0
105.868,0.00,-4.69,15.65,off,off,-10.98,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.50,0.54,70,102,2.61,65.53,0.70,3.66,190,837,0.00,3.1,0.00,0
105.926,0.00,-4.69,15.61,off,off,-11.00,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.53,70,102,2.56,65.55,0.72,3.65,190,832,0.00,3.5,0.00,0
105.996,0.00,-4.69,15.64,off,off,-11.03,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.53,70,102,2.53,65.60,0.72,3.62,190,825,0.00,3.5,0.00,0
106.066,0.00,-4.69,15.60,off,off,-11.03,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.53,70,102,2.46,65.66,0.76,3.62,190,809,0.00,3.5,0.00,0
106.154,0.00,-4.69,15.54,off,off,-11.03,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.51,70,102,2.42,65.83,0.76,3.62,190,797,0.00,3.5,0.00,0
106.213,0.00,-4.69,15.56,off,off,-11.03,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.50,0.50,70,102,2.41,66.17,0.80,3.62,190,789,0.00,3.5,0.00,0
106.268,0.00,-4.69,15.49,off,off,-11.02,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,2,7.00,0.50,70,104,2.40,66.44,0.78,3.63,190,783,0.00,3.5,0.00,0
106.328,0.00,-4.69,15.45,off,off,-10.96,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,0,6.50,0.50,70,104,2.41,66.51,0.80,3.69,190,779,0.00,3.9,0.00,0
106.397,0.00,-4.69,15.37,off,off,-10.90,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,6.50,0.50,70,104,2.42,66.56,0.80,3.75,190,776,0.00,3.9,0.00,0
106.468,0.00,-4.69,15.30,off,off,-10.86,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,6.50,0.50,70,104,2.44,66.52,0.82,3.79,190,775,0.00,3.9,0.00,0
106.544,0.00,-4.69,15.20,off,off,-10.83,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,6.50,0.49,70,104,2.44,66.61,0.82,3.82,190,771,0.00,3.5,0.00,0
106.598,0.00,-4.69,15.16,off,off,-10.79,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,1.50,0.49,70,104,2.45,66.76,0.80,3.86,190,766,0.00,3.5,0.00,0
106.657,0.00,-4.69,15.08,off,off,-10.78,13.96,0.18,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,2.00,0.48,70,104,2.44,67.02,0.78,3.87,190,758,0.00,3.5,0.00,0
106.745,0.00,-4.69,15.02,off,off,-10.75,13.96,0.19,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,2.50,0.47,70,104,2.43,67.59,0.80,3.90,190,740,0.00,3.9,0.00,0
106.801,0.00,-4.69,15.03,off,off,-10.70,13.96,0.19,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,3.50,0.47,70,104,2.43,67.84,0.82,3.95,190,729,0.00,3.9,0.00,0
106.860,0.00,-4.69,14.96,off,off,-10.65,13.96,0.19,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,4.00,0.46,70,104,2.44,67.90,0.82,4.00,190,722,0.00,3.9,0.00,0
106.918,0.00,-4.69,14.98,off,off,-10.59,13.96,0.19,off,12.76,192,1.000,0.00,0.00,0.00,1.0,1,4.50,0.46,70,104,2.46,67.59,0.84,4.06,190,725,0.00,3.9,0.00,0
106.977,0.00,-4.69,14.95,off,off,-10.55,13.96,0.19,off,13.94,192,1.000,0.00,0.00,0.00,1.0,1,4.50,0.47,70,104,2.49,67.35,0.84,4.10,190,730,0.00,3.9,0.00,0
107.046,3.12,-4.69,14.93,off,off,-10.51,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,1,4.00,0.47,70,104,2.50,67.11,0.80,4.14,190,734,0.00,3.5,0.00,0
107.121,3.12,-4.69,14.91,off,off,-10.51,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,1,4.00,0.47,70,104,2.50,67.19,0.80,4.14,190,731,0.00,3.5,0.00,0
107.176,3.91,-4.69,14.92,off,off,-10.49,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,1,4.00,0.47,70,104,2.49,67.25,0.78,4.16,190,727,0.00,3.5,0.00,0
107.265,3.91,-4.69,14.90,off,off,-10.50,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,1,4.50,0.46,70,104,2.47,67.49,0.78,4.15,190,719,0.00,3.5,0.00,0
107.320,3.91,-4.69,14.90,off,off,-10.49,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,1,4.50,0.46,70,104,2.47,67.52,0.78,4.16,190,717,0.00,3.5,0.00,0
107.384,3.91,-4.69,14.93,off,off,-10.48,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,1,5.00,0.45,70,104,2.45,67.65,0.80,4.17,190,710,0.00,3.5,0.00,0
107.441,4.69,-4.69,14.92,off,off,-10.47,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,1,5.00,0.45,70,104,2.46,67.69,0.82,4.17,190,708,0.00,3.5,0.00,0
107.499,4.69,-4.69,14.97,off,off,-10.44,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,5.50,0.45,70,104,2.46,67.60,0.80,4.21,190,706,0.00,3.5,0.00,0
107.557,4.69,0.00,14.95,off,off,-10.42,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,5.50,0.45,70,104,2.47,67.55,0.78,4.22,190,706,0.00,3.5,0.00,0
107.616,5.47,7.03,14.97,off,off,-10.40,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,5.50,0.45,70,104,2.48,67.50,0.80,4.25,190,707,0.00,3.5,0.00,0
107.676,5.47,11.72,15.00,off,off,-10.39,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,5.50,0.61,70,104,2.50,67.24,0.78,4.26,190,713,0.00,3.5,0.00,0
107.765,5.47,13.28,15.03,off,off,-10.38,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,5.50,0.61,70,104,2.54,66.91,0.74,4.27,190,727,0.00,3.5,0.00,0
107.821,6.25,15.62,15.07,off,off,-10.38,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.50,0.63,70,104,2.56,66.63,0.74,4.27,190,739,0.00,3.5,0.00,0
107.885,6.25,17.19,15.10,off,off,-10.43,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.64,70,104,2.57,66.48,0.76,4.22,190,750,0.00,3.1,0.00,0
107.942,7.03,17.97,15.15,off,off,-10.47,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.65,70,104,2.57,66.30,0.74,4.18,190,760,0.00,3.1,0.00,0
108.001,7.03,17.97,15.24,off,off,-10.51,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.50,0.65,70,104,2.56,66.20,0.70,4.14,190,767,0.00,3.1,0.00,0
108.058,7.81,17.97,15.19,off,off,-10.59,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.50,0.66,70,104,2.54,66.20,0.66,4.05,190,770,0.00,3.1,0.00,0
108.116,7.81,17.97,15.27,off,off,-10.64,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.66,70,104,2.52,66.21,0.66,4.01,190,774,0.00,3.1,0.00,0
108.205,8.59,17.97,15.31,off,off,-10.70,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,1.50,0.66,70,104,2.47,66.49,0.72,3.95,190,769,0.00,3.1,0.00,0
108.262,8.59,17.97,15.30,off,off,-10.75,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.66,70,104,2.45,66.58,0.74,3.90,190,769,0.00,3.1,0.00,0
108.320,9.38,17.97,15.33,off,off,-10.76,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.66,70,104,2.44,66.63,0.78,3.89,190,768,0.00,3.5,0.00,0
108.377,8.59,17.97,15.34,off,off,-10.78,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.66,70,104,2.43,66.60,0.74,3.87,190,769,0.00,3.5,0.00,0
108.465,9.38,17.97,15.30,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.66,70,104,2.43,66.64,0.76,3.86,190,769,0.00,3.5,0.00,0
108.521,9.38,17.97,15.27,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.66,70,104,2.42,66.62,0.74,3.86,190,769,0.00,3.5,0.00,0
108.576,9.38,17.97,15.24,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.66,70,104,2.42,66.65,0.74,3.85,190,769,0.00,3.5,0.00,0
108.664,9.38,17.97,15.13,off,off,-10.81,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.65,70,104,2.40,66.81,0.74,3.83,190,766,0.00,3.5,0.00,0
108.719,9.38,17.97,15.08,off,off,-10.82,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.65,70,104,2.40,66.86,0.76,3.83,190,764,0.00,3.5,0.00,0
108.777,9.38,17.97,14.93,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.00,0.65,70,104,2.39,66.97,0.76,3.85,190,760,0.00,3.5,0.00,0
108.841,9.38,17.97,14.85,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.50,0.65,70,104,2.38,67.05,0.80,3.85,190,758,0.00,3.5,0.00,0
108.905,8.59,17.97,14.76,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,104,2.38,67.02,0.80,3.86,190,759,0.00,3.5,0.00,0
108.963,8.59,17.97,14.67,off,off,-10.78,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.64,70,104,2.38,67.12,0.78,3.87,190,756,0.00,3.5,0.00,0
109.021,8.59,17.97,14.60,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.64,70,104,2.38,67.11,0.78,3.86,190,756,0.00,3.5,0.00,0
109.080,8.59,17.97,14.54,off,off,-10.77,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.64,70,104,2.37,67.13,0.76,3.88,190,755,0.00,3.5,0.00,0
109.139,8.59,17.97,14.45,off,off,-10.77,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,104,2.38,67.04,0.76,3.88,190,757,0.00,3.5,0.00,0
109.204,8.59,17.97,14.39,off,off,-10.78,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,104,2.38,66.98,0.78,3.87,190,759,0.00,3.5,0.00,0
109.261,8.59,17.97,14.30,off,off,-10.78,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,104,2.38,66.99,0.78,3.87,190,759,0.00,3.5,0.00,0
109.316,7.81,17.97,14.24,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,104,2.37,66.95,0.78,3.85,190,761,0.00,3.1,0.00,0
109.376,7.81,17.97,14.16,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,104,2.36,66.96,0.76,3.85,190,761,0.00,3.1,0.00,0
109.464,7.81,17.97,14.06,off,off,-10.81,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,106,2.34,67.14,0.70,3.83,190,757,0.00,3.1,0.00,0
109.520,7.03,17.97,13.99,off,off,-10.83,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,106,2.34,67.19,0.72,3.82,190,756,0.00,3.5,0.00,0
109.577,7.03,17.97,13.94,off,off,-10.83,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.64,70,106,2.32,67.33,0.74,3.82,190,753,0.00,3.5,0.00,0
109.664,7.03,17.97,13.86,off,off,-10.84,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.64,70,106,2.32,67.46,0.76,3.81,190,750,0.00,3.5,0.00,0
109.720,6.25,17.97,13.79,off,off,-10.83,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.64,70,106,2.32,67.40,0.78,3.82,190,751,0.00,3.5,0.00,0
109.777,6.25,17.97,13.76,off,off,-10.83,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.64,70,106,2.33,67.36,0.76,3.82,190,752,0.00,3.5,0.00,0
109.844,6.25,17.97,13.70,off,off,-10.82,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.64,70,106,2.33,67.31,0.76,3.83,190,752,0.00,3.5,0.00,0
109.901,6.25,17.97,13.69,off,off,-10.81,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.64,70,106,2.33,67.25,0.76,3.84,190,753,0.00,3.1,0.00,0
109.960,5.47,17.97,13.63,off,off,-10.82,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.64,70,106,2.33,67.22,0.74,3.83,190,755,0.00,3.1,0.00,0
110.018,5.47,17.97,13.62,off,off,-10.82,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.65,70,106,2.32,67.18,0.74,3.83,190,756,0.00,3.1,0.00,0
110.084,5.47,17.97,13.56,off,off,-10.82,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.64,70,106,2.31,67.40,0.72,3.83,190,750,0.00,3.1,0.00,0
110.140,4.69,17.97,13.54,off,off,-10.83,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.64,70,106,2.30,67.52,0.72,3.82,190,748,0.00,3.1,0.00,0
110.198,4.69,17.97,13.50,off,off,-10.83,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.50,0.63,70,106,2.29,67.65,0.72,3.82,190,744,0.00,3.1,0.00,0
110.256,4.69,17.97,13.49,off,off,-10.84,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.28,67.76,0.72,3.81,190,741,0.00,3.5,0.00,0
110.316,3.91,17.97,13.46,off,off,-10.84,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.27,67.90,0.76,3.80,190,738,0.00,3.5,0.00,0
110.383,3.91,17.97,13.45,off,off,-10.83,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.27,68.00,0.76,3.82,190,735,0.00,3.5,0.00,0
110.440,3.91,17.97,13.42,off,off,-10.82,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.28,67.93,0.74,3.83,190,736,0.00,3.5,0.00,0
110.498,3.91,17.97,13.43,off,off,-10.81,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.29,67.86,0.74,3.84,190,737,0.00,3.5,0.00,0
110.558,3.12,17.97,13.40,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.28,67.96,0.76,3.86,190,733,0.00,3.5,0.00,0
110.617,3.12,17.97,13.39,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.29,67.86,0.78,3.86,190,736,0.00,3.5,0.00,0
110.697,3.12,17.97,13.37,off,off,-10.78,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.30,67.82,0.76,3.87,190,736,0.00,3.1,0.00,0
110.764,3.12,17.97,13.38,off,off,-10.77,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.29,67.88,0.76,3.88,190,733,0.00,3.1,0.00,0
110.807,2.34,17.97,13.35,off,off,-10.78,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.29,67.85,0.74,3.87,190,735,0.00,3.1,0.00,0
110.877,2.34,17.97,13.37,off,off,-10.78,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.28,67.94,0.72,3.87,190,733,0.00,3.1,0.00,0
110.962,1.56,17.97,13.35,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.28,67.95,0.72,3.85,189,733,0.00,3.1,0.00,0
111.030,1.56,17.97,13.32,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.27,67.97,0.72,3.86,189,732,0.00,3.1,0.00,0
111.077,1.56,17.97,13.34,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.27,67.96,0.74,3.86,189,733,0.00,3.1,0.00,0
111.164,0.78,17.97,13.33,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.27,67.86,0.74,3.85,189,736,0.00,3.1,0.00,0
111.220,0.78,17.97,13.31,off,off,-10.79,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.26,67.88,0.74,3.86,189,735,0.00,3.1,0.00,0
111.280,0.78,17.97,13.33,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.26,67.91,0.72,3.85,189,735,0.00,3.1,0.00,0
111.337,0.78,17.97,13.31,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.26,67.86,0.70,3.85,189,737,0.00,3.1,0.00,0
111.406,0.00,17.97,13.34,off,off,-10.81,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.26,67.90,0.70,3.84,189,736,0.00,3.1,0.00,0
111.495,0.00,17.97,13.35,off,off,-10.82,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.63,70,106,2.25,68.01,0.70,3.83,189,734,0.00,3.1,0.00,0
111.551,0.00,17.97,13.31,off,off,-10.81,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.62,70,106,2.24,68.10,0.70,3.84,189,731,0.00,3.1,0.00,0
111.608,0.00,17.97,13.35,off,off,-10.82,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.62,72,106,2.24,68.13,0.72,3.83,189,730,0.00,3.1,0.00,0
111.668,0.00,17.97,13.33,off,off,-10.80,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.62,72,106,2.23,68.19,0.74,3.85,189,727,0.00,3.1,0.00,0
111.727,-0.78,17.97,13.36,off,off,-10.81,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.50,0.62,72,106,2.23,68.36,0.74,3.84,189,723,0.00,3.1,0.00,0
111.807,-0.78,17.97,13.34,off,off,-10.81,13.96,0.18,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.50,0.46,72,106,2.23,68.28,0.74,3.84,189,726,0.00,3.5,0.00,0
111.871,-0.78,17.97,13.38,off,off,-10.80,13.96,0.19,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,9.50,0.46,72,106,2.34,68.58,0.78,3.85,189,717,0.00,5.5,0.00,0
111.925,-0.78,17.97,13.37,off,off,-10.54,13.96,0.21,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,10.50,0.46,72,106,2.50,67.76,1.04,4.11,189,714,0.00,5.9,0.00,0
111.983,-0.78,17.97,13.40,off,off,-10.31,13.96,0.22,on,13.89,192,1.000,0.00,0.00,0.00,1.0,0,10.50,0.76,72,106,2.76,66.85,1.06,4.34,189,719,0.00,5.9,0.00,0
112.041,-1.56,17.97,13.40,off,off,-9.95,13.96,0.25,on,13.89,192,1.000,0.00,0.00,0.00,1.0,0,10.00,0.77,72,106,3.01,66.79,1.06,4.70,189,725,0.00,5.5,0.00,0
112.097,-1.56,17.97,13.43,off,off,-9.81,13.96,0.26,on,13.84,192,1.000,0.00,0.00,0.00,1.0,0,10.00,0.78,72,106,3.29,66.34,1.06,4.84,189,748,0.00,5.5,0.00,0
112.176,-1.56,17.97,13.44,off,off,-9.59,13.96,0.27,on,13.89,192,1.000,0.00,0.00,0.00,1.0,0,9.50,0.81,72,106,3.58,65.44,1.06,5.06,189,780,0.00,5.5,0.00,0
112.242,-1.56,17.97,13.44,off,off,-9.49,13.96,0.27,on,13.89,192,1.000,0.00,0.00,0.00,1.0,0,6.50,0.86,72,106,3.72,64.81,1.00,5.16,189,805,0.00,4.7,0.00,0
112.298,-1.56,17.97,13.49,off,off,-9.50,13.96,0.27,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,6.00,0.87,72,106,3.73,64.87,0.92,5.14,189,820,0.00,4.3,0.00,0
112.357,-1.56,17.97,13.50,off,off,-9.56,13.96,0.26,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,4.00,0.89,72,106,3.72,64.95,0.88,5.09,189,838,0.00,4.3,0.00,0
112.446,-1.56,17.97,13.54,off,off,-9.68,13.96,0.26,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,3.00,0.91,72,106,3.70,65.04,0.80,4.97,189,854,0.00,4.3,0.00,0
112.503,-1.56,17.97,13.57,off,off,-9.77,13.96,0.25,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,2.50,0.92,72,106,3.69,65.10,0.84,4.88,189,867,0.00,4.3,0.00,0
112.561,-1.56,17.97,13.58,off,off,-9.86,13.96,0.25,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,0.50,0.93,72,106,3.68,65.14,0.86,4.79,189,878,0.00,4.7,0.00,0
112.618,-1.56,17.97,13.64,off,off,-9.95,13.96,0.25,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,0.00,0.94,72,106,3.65,65.16,0.86,4.70,189,881,0.00,4.7,0.00,0
112.677,-1.56,17.97,13.67,off,off,-9.99,13.96,0.25,on,13.94,192,1.000,0.00,0.00,0.00,1.0,0,0.00,0.94,72,106,3.63,65.17,0.88,4.66,189,884,0.00,4.7,0.00,0
